Status,Section Name,Title,Dates,Location,Instructional Methods,Meeting Information,Faculty,Availability ,Credits,Course Types,Academic Level
Open,ACCT-1320-01 ,PRIN OF ACCT II,1/9/2023-5/6/2023,Lincoln,LECTURE,"M, W, F 9:00-9:50 AM 1/9/2023 - 5/6/2023 SC 242 (LEC) ","Milius, Jeanette L. ",16 / 26 / 0,3 Credits, ,Undergraduate
Open,ACCT-1320-02 ,PRIN OF ACCT II,1/9/2023-5/6/2023,Lincoln,LECTURE,"M, W, F 10:00-10:50 AM 1/9/2023 - 5/6/2023 SC 242 (LEC) ","Milius, Jeanette L. ",19 / 26 / 0,3 Credits, ,Undergraduate
Open,ACCT-1320-03 ,PRIN OF ACCT II,1/9/2023-5/6/2023,Lincoln,LECTURE,"M, W, F 11:00-11:50 AM 1/9/2023 - 5/6/2023 SC 242 (LEC) ","Milius, Jeanette L. ",20 / 26 / 0,3 Credits, ,Undergraduate
Open,ACCT-2120-01 ,INTRMED ACCT II,1/9/2023-5/6/2023,Lincoln,LECTURE,"T, Th 8:35-9:50 AM 1/9/2023 - 5/6/2023 SC 242 (LEC) ","Milius, Jeanette L. ",22 / 25 / 0,3 Credits, ,Undergraduate
Open,ACCT-2440-01 ,ACCT INFO SYSTEMS,1/9/2023-5/6/2023,Lincoln,LECTURE,"M, W, F 9:00-9:50 AM 1/9/2023 - 5/6/2023 SC 235 (LEC) ","Swift, Christopher L. ",21 / 25 / 0,3 Credits, ,Undergraduate
Open,ACCT-3300-01 ,MANAGERIAL ACCOUNTING,1/9/2023-5/6/2023,Lincoln,LECTURE,"T, Th 10:20-11:35 AM 1/9/2023 - 5/6/2023 SC 235 (LEC) ","Swift, Christopher L. ",18 / 25 / 0,3 Credits, ,Undergraduate
Open,ACCT-3500-01 ,VLNTR INCOME TAX ASST,1/9/2023-5/6/2023,Lincoln,LECTURE,"M, W, F 10:00-10:50 AM 1/9/2023 - 5/6/2023 SC 235 (LEC) ","Swift, Christopher L. ",24 / 25 / 0,1 Credits,Experiential Exploratory,Undergraduate
Open,ACCT-4410-01 ,CORP FEDERAL TAX ACCT,1/9/2023-5/6/2023,Lincoln,LECTURE,"T, Th 2:20-3:35 PM 1/9/2023 - 5/6/2023 SC 242 (LEC) ","Robertson, Bryan P. 
Swift, Christopher L. ",20 / 25 / 0,3 Credits, ,Undergraduate
Open,ACCT-4420-01 ,AUDITING,1/9/2023-5/6/2023,Lincoln,LECTURE,"T, Th 8:35-9:50 AM 1/9/2023 - 5/6/2023 SC 235 (LEC) ","Swift, Christopher L. ",17 / 25 / 0,3 Credits, ,Undergraduate
Open,ACCT-4950-01 ,INDEPENDENT STUDY,1/9/2023-5/6/2023,Lincoln,ARRANGED,1/9/2023 - 5/6/2023 TBD (ARR) ,"Milius, Jeanette L. ",99 / 99 / 0,1 to 3 Credits, ,Undergraduate
Open,ACCT-4960-01 ,SPECIAL PROJECTS,1/9/2023-5/6/2023,Lincoln,ARRANGED,1/9/2023 - 5/6/2023 TBD (ARR) ,"Milius, Jeanette L. ",99 / 99 / 0,1 to 3 Credits, ,Undergraduate
Open,ACCT-4970-01 ,ACCOUNTING INTERNSHIP,1/9/2023-5/6/2023,Lincoln,ARRANGED,1/9/2023 - 5/6/2023 TBD (ARR) ,"Milius, Jeanette L. ",33 / 35 / 0,3 Credits,"Internship/Practicum
Experiential Intensive",Undergraduate
Open,ACCT-5010-L1 ,ACCTNG DECISION MAKNG,1/9/2023-3/3/2023,Lincoln,"LECTURE
Online",T 6:00-10:00 PM 1/9/2023 - 3/3/2023 SC 235 (LEC) 1/9/2023 - 3/3/2023 (WEB) ,"Swift, Christopher L. 
Romero, Ray D. ",10 / 20 / 0,3 Credits,"Blended Classroom
Adult UG or Grad only sec
1ST 8-WEEK Session",Graduate
Open,ACCT-5010-L2 ,ACCTNG DECISION MAKNG,1/9/2023-3/3/2023,Distance (online),Online,T 6:00-10:00 PM 1/9/2023 - 3/3/2023 (WEB) ,"Swift, Christopher L. 
Romero, Ray D. ",10 / 20 / 0,3 Credits,"Blended Online
Adult UG or Grad only sec
1ST 8-WEEK Session",Graduate
Open,ACCT-5410X-01 ,CORP FEDERAL TAX ACCT,1/9/2023-5/6/2023,Lincoln,LECTURE,"T, Th 2:20-3:35 PM 1/9/2023 - 5/6/2023 SC 242 (LEC) ","Robertson, Bryan P. 
Swift, Christopher L. ",20 / 25 / 0,3 Credits, ,Undergraduate
Open,ACCT-5420X-01 ,AUDITING,1/9/2023-5/6/2023,Lincoln,LECTURE,"T, Th 8:35-9:50 AM 1/9/2023 - 5/6/2023 SC 235 (LEC) ","Swift, Christopher L. ",17 / 25 / 0,3 Credits, ,Undergraduate
Open,ANTHR-1150-01 ,CULTURAL ANTHROPOLOGY,1/9/2023-5/6/2023,Lincoln,LECTURE,"W, F 12:00-1:40 PM 1/9/2023 - 5/6/2023 SC 110 (LEC) ","Dubas, Ellen B. ",23 / 25 / 0,4 Credits,"Diversity-Global
Reflected Self Thread
International Studies",Undergraduate
Open,ANTHR-1150-02 ,CULTURAL ANTHROPOLOGY,1/9/2023-5/6/2023,Lincoln,LECTURE,W 6:00-9:20 PM 1/9/2023 - 5/6/2023 SC 120 (LEC) ,"Vinton, Sheila K. ",24 / 25 / 0,4 Credits,"Diversity-Global
Reflected Self Thread
International Studies",Undergraduate
Open,ANTHR-2630-01 ,ANTHRO OF RELIGION,1/9/2023-5/6/2023,Lincoln,LECTURE,"T, Th 12:00-1:40 PM 1/9/2023 - 5/6/2023 SC 110 (LEC) ","Dubas, Ellen B. ",22 / 25 / 0,4 Credits,"Diversity-Global
Science & Religion Thread",Undergraduate
Open,ARH-1030FYW-01 ,SURVEY NONWEST ART HIST,1/9/2023-5/6/2023,Lincoln,LECTURE,"T, Th 2:00-3:40 PM 1/9/2023 - 5/6/2023 LUC 206 (LEC) ","Barnard, Bailey E. ",21 / 25 / 0,4 Credits,"FYW: 2 courses needed
Diversity-Global
Going Global Thread
International Studies",Undergraduate
Open,ARH-1040FYW-01 ,SURVEY WESTERN ART HIST,1/9/2023-5/6/2023,Lincoln,LECTURE,"T, Th 10:00-11:40 AM 1/9/2023 - 5/6/2023 LUC 206 (LEC) ","Barnard, Bailey E. ",23 / 25 / 0,4 Credits,"Diversity-Global
Going Global Thread
FYW: 2 courses needed",Undergraduate
Open,ARH-3000-01 ,HIST OF ART MUSEUMS,1/9/2023-5/6/2023,Lincoln,LECTURE,"M, W, F 2:00-3:10 PM 1/9/2023 - 5/6/2023 LUC 206 (LEC) ","Barnard, Bailey E. ",8 / 25 / 0,4 Credits,"Diversity-Global
Writing Instructive
Power Thread",Undergraduate
Open,ART-1000-01 ,ART:PK-ELEM SCHOOL,1/9/2023-5/6/2023,Lincoln,LECTURE,W 5:30-8:15 PM 1/9/2023 - 5/6/2023 LUC 206 (LEC) ,"Baer, Stephanie A. ",23 / 25 / 0,3 Credits, ,Undergraduate
Open,ART-1100-01 ,INTRO TO PAINTING,1/9/2023-5/6/2023,Lincoln,Studio,"T, Th 9:00-11:50 AM 1/9/2023 - 5/6/2023 LUC 216 (S) ","Gracie, David R. ",13 / 18 / 0,4 Credits,"StudioArt Classes
Creative/Perf Arts",Undergraduate
Open,ART-1200-01 ,INTRO DIGITAL MEDIA,1/9/2023-5/6/2023,Lincoln,Studio,"T, Th 9:00-11:50 AM 1/9/2023 - 5/6/2023 LUC 104 (S) ","Ratzlaff, Terry ",10 / 16 / 0,4 Credits,"StudioArt Classes
Creative/Perf Arts",Undergraduate
Open,ART-1300-01 ,INTRO TO DRAWING,1/9/2023-5/6/2023,Lincoln,Studio,"M, W, F 10:00-11:50 AM 1/9/2023 - 5/6/2023 LUC 216 (S) ","Gracie, David R. ",10 / 17 / 0,4 Credits,Creative/Perf Arts,Undergraduate
Closed,ART-1600-01 ,INTRO TO CERAMICS,1/9/2023-5/6/2023,Lincoln,Studio,"M, W, F 12:00-1:50 PM 1/9/2023 - 5/6/2023 LUC 108 (S) ","Lockman, Lisa A. ",0 / 18 / 0,4 Credits,"StudioArt Classes
Creative/Perf Arts",Undergraduate
Open,ART-1700-01 ,INTRO TO SCULPTURE,1/9/2023-5/6/2023,Lincoln,Studio,"T, Th 6:00-8:50 PM 1/9/2023 - 5/6/2023 LUC 108 (S) ","Schepers, Joshua ",8 / 15 / 0,4 Credits,"StudioArt Classes
Creative/Perf Arts",Undergraduate
