"","Mode","Units","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","Country"
"1","Air","Thousands",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"AFGHANISTAN"
"2","Water","Thousands",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"AFGHANISTAN"
"3","Land","Thousands",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"AFGHANISTAN"
"4","Air","Thousands",45,39,32,79,86,72,91,80,87,103,128,151,182,206,227,246,267,273,314,337.2,401,457,577.8,691.6,783.9,269.8,764.7,1250,"ALBANIA"
"5","Water","Thousands",83,78,19,33,152,79,103,111,120,139,130,141,162,189,215,216,191,180,182,198,211,276,393,439.3,468.4,64.1,205.9,383.9,"ALBANIA"
"6","Land","Thousands",176,170,68,72,133,166,160,279,351,404,490,645,782,1024,1414,1955,2474,3061,2760,3137.5,3519,4003,4146.8,4795.9,5153.8,2323.9,4718.1,5909.9,"ALBANIA"
"7","Air","Thousands",346,370,343,NA,369,382,403,456,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ALGERIA"
"8","Water","Thousands",110,172,107,NA,196,201,203,322,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ALGERIA"
"9","Land","Thousands",63,63,184,NA,184,283,295,210,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ALGERIA"
"10","Air","Thousands",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18.8,20.1,19.6,19.3,19.3,17.6,16.6,16.4,15.8,16.4,17.4,NA,NA,NA,NA,"AMERICAN SAMOA"
"11","Water","Thousands",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.4,3.5,3.5,3.3,3.3,3.2,5,3.9,4.3,3.6,2.8,NA,NA,NA,NA,"AMERICAN SAMOA"
"12","Land","Thousands",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"AMERICAN SAMOA"
"13","Air","Thousands",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ANDORRA"
"14","Water","Thousands",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ANDORRA"
"15","Land","Thousands",NA,NA,NA,NA,9422,10991,11351,11507,11601,11668,11049,10737,10743,10194,9112,8551,7983,7900,7676,7797,7850,8025,8152,8328,8235,5207,5422,8426.7,"ANDORRA"
"16","Air","Thousands",9,20,44,51,43,48,58,61,83,144,153,120,172,294,366,425,481,528,650,595,592,397,261,218,218,64,64,130,"ANGOLA"
"17","Water","Thousands",NA,NA,NA,1,NA,NA,1,3,3,4,5,NA,18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ANGOLA"
"18","Land","Thousands",NA,1,1,NA,2,2,8,27,21,46,52,1,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ANGOLA"
"19","Air","Thousands",29,28,33,29,29,28,32,30,28,24,32,33,35,27,17,17,18,15,15,14,13,13.1,13.1,13.4,16.7,5.2,7.8,28.1,"ANGUILLA"
"20","Water","Thousands",78,58,81,85,78,84,73,81,81,97,111,134,129,101,95,101,106,114,136,163,173,162.9,137.5,74,149.7,35.9,20.9,67.6,"ANGUILLA"
"21","Land","Thousands",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ANGUILLA"
"22","Air","Thousands",191,202,211,204,208,207,193,198,224,246,245,254,262,266,234,230,241,247,243,249,250,265,247.3,269,301,125.1,169.4,265,"ANTIGUA AND BARBUDA"
"23","Water","Thousands",227,270,286,336,328,427,409,310,384,523,467,584,673,597,710,558,606.5,572,534,522,644,609,793,795,734,150.8,80.6,377,"ANTIGUA AND BARBUDA"
"24","Land","Thousands",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ANTIGUA AND BARBUDA"
"25","Air","Thousands",NA,NA,NA,NA,NA,1192,998,928,1227,1666,2069,2279,2566,2586,2220,2865.4,2884.8,2763.9,2530,2609,2425.9,2390,2567,2760,3065.2,694.3,211.1,1691.1,"ARGENTINA"
"26","Water","Thousands",NA,NA,NA,NA,NA,389,300,275,339,274,318,391,453,492,457,1031.4,1012.2,973.6,1047.6,997.3,1003.1,1018.9,1032.5,1036.8,1094.7,358,28.3,566.4,"ARGENTINA"
"27","Land","Thousands",NA,NA,NA,NA,NA,1328,1322,1617,1430,1517,1436,1503,1543,1622,1630,2902.9,2806,2759.7,2932.8,3559.1,3386.8,3259.4,3111.8,3145,3239.1,1037.2,58,1632.3,"ARGENTINA"
"28","Air","Thousands",11,12,20,29,36,39,107,135,173,196,225,270,344,371,382,460,503,564,618,701,693.1,740.3,765.6,806,980,198.8,648.7,1054.3,"ARMENIA"
"29","Water","Thousands",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ARMENIA"
"30","Land","Thousands",1,1,3,3,5,6,17,27,33,66,93,111,167,187,193,223,255,399,466,503,499,519.4,729.2,845.8,914,176.4,221.7,611.4,"ARMENIA"
"31","Air","Thousands",619,641,650,647,683,721,691,643,642,728,733,694,772,827,813,824,869,904,979,1072,1225,1102,1070.5,1082,1118.9,368.3,806.6,1101,"ARUBA"
"32","Water","Thousands",293,316,297,259,289,490,487,582,542,576,553,591,482,556,607,570,600,577,688,667,607,656,792.4,815,832,255.4,136,610.474,"ARUBA"
"33","Land","Thousands",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ARUBA"
"34","Air","Thousands",3712,4149,4305,4146,4427,4904,4832,4819,4730,5201,5486,5514,5619,5558,5464,5772,5760,6017,6385.5,6864.5,7387.2,8209.1,8743.1,9167.3,9387.4,1788.6,246,3675.3,"AUSTRALIA"
"35","Water","Thousands",14,15,13,21,33,27,24,22,16,14,13,19,26,27,26,18,11,16,96.2,57.2,62,59.8,72.2,78.3,78.5,39.1,0.2,19.1,"AUSTRALIA"
"36","Land","Thousands",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"AUSTRALIA"
"37","Air","Thousands",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"AUSTRIA"
"38","Water","Thousands",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"AUSTRIA"
"39","Land","Thousands",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"AUSTRIA"
"40","Air","Thousands",NA,195,286,466,564,658,739,173,217,276,276,281,297,572,624,646,795,946,993.5,1089.2,968.9,1164.9,1151.5,1183.8,1285.2,219.4,380.2,1042.1,"AZERBAIJAN"
"41","Water","Thousands",NA,1,3,1,1,1,2,2,6,8,10,9,9,15,13,14,20,21,26.6,16.1,32.1,16.8,18.9,28.3,24.5,19.7,17.1,24,"AZERBAIJAN"
"42","Land","Thousands",NA,14,17,16,37,22,26,659,815,995,891,903,1026,1312,1193,1303,1424,1517,1488.8,1192.4,1005.7,1066.8,1526.3,1637.4,1860.7,556.6,394.5,536.2,"AZERBAIJAN"
"43","Air","Thousands",1317,1368,1368,1305,1439,1481,1428,1403,1429,1450,1514.5,1492,1487,1393,1252,1295,1268,1357,1281,1343,1391,1392,1335.6,1558.1,1662.4,418.3,886.6,1470.2,"BAHAMAS"
"44","Water","Thousands",1922,2048,2078,2043,2209,2722,2755,3003,3165,3554,3264.9,3239,3114,3001,3393,3960,4320,4583,4870,4977,4721,4873,4800.2,5063.9,5587.1,1376.2,1214,5530.5,"BAHAMAS"
"45","Land","Thousands",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"BAHAMAS"
"46","Air","Thousands",NA,505,552,606,656,720,791,920,974,1176,1301,1544,1642,1855,1941,2280,1521,1628,1615,1705.5,1048,1069,1196.6,1150.5,1220.6,299,393.3,978.7,"BAHRAIN"
"47","Water","Thousands",NA,2,4,5,5,6,9,13,8,7,5,12,53,80,94,143,55,55,66,59,40,56,68.6,81.1,133.7,51.3,7.3,32.6,"BAHRAIN"
"48","Land","Thousands",NA,1481,2044,2286,2619,3143,3588,3897,3862,4484,5007,5733,6139,6696,6825,9528,5156,6381,7481.5,8684.3,8582,9033,10108.8,10813.1,9706.9,1558.7,3211.5,8937.4,"BAHRAIN"
"49","Air","Thousands",131,136,148,139,134,151,158,151,187,218,140,151,227,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"BANGLADESH"
