"","Country","Stay_Info","Year","Quantity"
"1","Albania","Number of establishments",2018,1021
"2","Albania","Number of establishments",2019,1126
"3","Albania","Number of establishments",2020,1237
"4","Albania","Number of establishments",2021,1256
"5","Albania","Number of establishments",2022,1385
"6","Albania","Number of rooms",2002,2283
"7","Albania","Number of rooms",2003,2337
"8","Albania","Number of rooms",2004,2376
"9","Albania","Number of rooms",2005,4341
"10","Albania","Number of rooms",2006,4834
"11","Albania","Number of rooms",2007,6876
"12","Albania","Number of rooms",2008,10112
"13","Albania","Number of rooms",2009,10118
"14","Albania","Number of rooms",2010,14328
"15","Albania","Number of rooms",2011,12428
"16","Albania","Number of rooms",2012,14652
"17","Albania","Number of rooms",2013,14146
"18","Albania","Number of rooms",2014,15081
"19","Albania","Number of rooms",2015,12986
"20","Albania","Number of rooms",2016,17692
"21","Albania","Number of rooms",2018,30524
"22","Albania","Number of rooms",2019,33798
"23","Albania","Number of rooms",2020,34713
"24","Albania","Number of rooms",2021,35802
"25","Albania","Number of rooms",2022,42464
"26","Albania","Number of bed-places",2002,4532
"27","Albania","Number of bed-places",2003,4956
"28","Albania","Number of bed-places",2004,5539
"29","Albania","Number of bed-places",2005,7583
"30","Albania","Number of bed-places",2006,9204
"31","Albania","Number of bed-places",2007,14700
"32","Albania","Number of bed-places",2008,20539
"33","Albania","Number of bed-places",2009,22638
"34","Albania","Number of bed-places",2010,25110
"35","Albania","Number of bed-places",2011,24301
"36","Albania","Number of bed-places",2012,32004
"37","Albania","Number of bed-places",2013,29737
"38","Albania","Number of bed-places",2014,32879
"39","Albania","Number of bed-places",2015,29903
"40","Albania","Number of bed-places",2016,41376
"41","Albania","Number of bed-places",2018,69395
"42","Albania","Number of bed-places",2019,77974
"43","Albania","Number of bed-places",2020,82434
"44","Albania","Number of bed-places",2021,85403
"45","Albania","Number of bed-places",2022,96986
"46","Albania","Occupancy rate / rooms",2018,17.53
"47","Albania","Occupancy rate / rooms",2019,21.81
"48","Albania","Occupancy rate / rooms",2020,10.59
"49","Albania","Occupancy rate / rooms",2021,17.5
"50","Albania","Occupancy rate / rooms",2022,18.9
"51","Albania","Occupancy rate / bed-places",2018,19.38
"52","Albania","Occupancy rate / bed-places",2019,24.41
"53","Albania","Occupancy rate / bed-places",2020,10.12
"54","Albania","Occupancy rate / bed-places",2021,17
"55","Albania","Occupancy rate / bed-places",2022,19
