"","Country","Divison","ISO 3 Letter","iso3num","Self_employed_total","Employed_total","Divison_total","female_employed_total","female_self_employed_total","male_self_employed_total","male_employed_total","female_self_employed_percent_divison","female_employed_percent_divison","male_self_employed_percent_divison","male_employed_percent_divison","female_self_employed_percent_slf","male_self_employed_percent_slf","female_employed_percent_ees","male_employed_percent_ees"
"1","Bulgaria","55-68","BGR",100,22994,65300,88294,36504,6445,16549,28796,7.29947674813691,41.3436926631481,18.7430629487847,32.6137676399302,28.0290510567974,71.9709489432026,55.9019908116386,44.0980091883614
"2","Bulgaria","56","BGR",100,15284,77656,92940,46938,4701,10583,30718,5.05810200129116,50.5035506778567,11.3869162900796,33.0514310307725,30.7576550641193,69.2423449358807,60.443494385495,39.556505614505
"3","Bulgaria","79","BGR",100,1319,3634,4953,2507,658,661,1127,13.284877851807,50.615788411064,13.3454472037149,22.7538865334141,49.8862774829416,50.1137225170584,68.9873417721519,31.0126582278481
"4","Spain","55-68","ESP",724,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","Spain","56","ESP",724,286887.4,935653.347500004,1222540.7475,509689.819999998,128356.22,158531.18,425963.527500001,10.4991363488275,41.6910291981901,12.9673534664741,34.8424809865079,44.7409750306218,55.2590249693783,54.4742154091418,45.5257845908576
"6","Spain","79","ESP",724,18530.66,50779.54,69310.1999999999,34793.925,9578.99,8951.67,15985.615,13.8204622119111,50.2002951946467,12.9153717634634,23.0638708299789,51.6926542281818,48.3073457718182,68.5195750099351,31.4804249900649
"7","France","55-68","FRA",250,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","France","56","FRA",250,NA,NA,795825.596157579,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","France","79","FRA",250,NA,NA,43125.88,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","Latvia","55-68","LVA",428,NA,NA,21400,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11","Latvia","56","LVA",428,NA,NA,21900,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","Latvia","79","LVA",428,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","Malta","55-68","MLT",470,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","Malta","56","MLT",470,NA,NA,10239,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","Malta","79","MLT",470,NA,NA,1155,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
